name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
10025,2020-08-26,24.6,19.5,22.4,24.6,19.5,22.4,11,49.3,0,0,0,,0,0,41.7,27.1,305.6,1013.1,6,16,258,22.2,9,,2020-08-26T06:17:21,2020-08-26T19:36:59,0.29,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-27,32.4,19.2,25.2,33.9,19.2,25.8,17.6,64.6,10.67,100,20.83,rain,0,0,66.6,29.5,251.5,1008.2,53.2,15.6,233.9,20.4,9,,2020-08-27T06:18:19,2020-08-27T19:35:25,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-28,29.4,21.9,25,30.5,21.9,25.2,18.9,70.4,0.16,100,12.5,rain,0,0,32.4,17.3,266.1,1009.1,19.2,15.6,209.5,18.2,9,,2020-08-28T06:19:18,2020-08-28T19:33:50,0.39,Rain,Clear conditions throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-29,27.3,22.3,24.5,29.8,22.3,24.8,21.3,82.6,0.34,100,20.83,rain,0,0,27.7,17.7,227.1,1002.4,58.2,16,84.6,7.3,4,,2020-08-29T06:20:17,2020-08-29T19:32:15,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-30,25.9,20.1,23,25.9,20.1,23,12.2,51.2,0,0,0,,0,0,50,35,299,1006.4,31.3,16,246.2,21.5,10,,2020-08-30T06:21:16,2020-08-30T19:30:39,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-31,24.3,17.8,21,24.3,17.8,21,13,60.5,0,0,0,,0,0,,14.3,82.6,1017.9,28.4,16,157.5,13.6,6,,2020-08-31T06:22:15,2020-08-31T19:29:03,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10025,2020-09-01,24.6,19.4,21.8,24.6,19.4,21.8,17.9,79.1,5.61,100,29.17,rain,0,0,,15.3,109.9,1019.5,69.8,14.1,167,14.4,7,,2020-09-01T06:23:14,2020-09-01T19:27:26,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-02,25.9,20.7,23.3,25.9,20.7,23.3,21,87,2.86,100,29.17,rain,0,0,,12.1,121.2,1012.9,76.5,12.8,81.5,6.9,4,,2020-09-02T06:24:12,2020-09-02T19:25:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-03,29.2,21.9,25.2,29.1,21.9,25.2,18.5,69.3,18.86,100,25,rain,0,0,29.5,19.7,273.7,1008.5,49.5,13.5,208,17.7,8,,2020-09-03T06:25:11,2020-09-03T19:24:11,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-04,28.9,20.9,24.7,30.1,20.9,24.8,16.9,65.5,0,0,0,,0,0,31.1,17,302,1011.2,14.3,13.5,254.8,21.9,9,,2020-09-04T06:26:10,2020-09-04T19:22:32,0.53,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-05,25.8,18.5,22.2,25.8,18.5,22.2,10,47.6,0,0,0,,0,0,33.5,13.5,309.2,1021,15.4,16,263.8,22.7,9,,2020-09-05T06:27:09,2020-09-05T19:20:54,0.55,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-06,27.3,18.9,22.9,27.2,18.9,22.9,13.7,56.9,0,0,0,,0,0,,24.5,208.2,1021.2,9.8,16,254,21.9,9,,2020-09-06T06:28:07,2020-09-06T19:19:14,0.58,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-07,25.8,19.5,22.5,25.8,19.5,22.5,16.1,67.7,0,0,0,,0,0,38.9,15.3,178.3,1019.1,8.2,16,233.4,20,8,,2020-09-07T06:29:06,2020-09-07T19:17:35,0.62,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-08,28.4,20.1,23.6,29.4,20.1,23.7,17.8,71.2,0,0,0,,0,0,,15.9,142.2,1020.6,28.3,16,243.4,21.1,8,,2020-09-08T06:30:05,2020-09-08T19:15:55,0.66,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-09,26.8,20.9,23.7,28,20.9,23.8,19.4,77.4,0,0,0,,0,0,,9.9,61.2,1024.8,25.9,16,133.9,11.7,5,,2020-09-09T06:31:03,2020-09-09T19:14:15,0.71,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-10,27.5,23,24.7,30.3,23,25.2,22.4,87.7,28.52,100,62.5,rain,0,0,,12.3,95,1022.9,82.3,11.8,131.1,11.3,7,,2020-09-10T06:32:02,2020-09-10T19:12:34,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-11,24.5,18.9,22.5,24.5,18.9,22.5,16.7,71.6,0,0,0,,0,0,31,16.7,16.5,1021.2,62.1,14.3,148.4,12.8,5,,2020-09-11T06:33:01,2020-09-11T19:10:53,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-12,23.1,16.6,19,23.1,16.6,19,12.4,65.8,0,0,0,,0,0,,15.9,68.2,1025.4,59.2,16,171.4,14.9,8,,2020-09-12T06:33:59,2020-09-12T19:09:12,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-13,23.5,16.3,20.5,23.5,16.3,20.5,16.3,76.7,0,0,0,,0,0,37.1,19.1,158.4,1019.8,76.9,16,143.4,12.6,5,,2020-09-13T06:34:58,2020-09-13T19:07:31,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-14,24,16.8,21.7,24,16.8,21.7,12.7,58.2,0,0,0,,0,0,42.5,24.5,334.4,1019.1,33,16,184.5,16,7,,2020-09-14T06:35:57,2020-09-14T19:05:50,0.95,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-15,18.9,12.2,15.5,18.9,12.2,15.5,5.8,53,0,0,0,,0,0,42.5,17.9,35.3,1026.1,8.5,16,208.9,18.1,7,,2020-09-15T06:36:56,2020-09-15T19:04:08,0.98,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-16,21.3,13.8,17.7,21.3,13.8,17.7,11.2,66,0,0,0,,0,0,31.7,19.1,224.2,1022.8,19.3,16,189.6,16.4,7,,2020-09-16T06:37:55,2020-09-16T19:02:26,1,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-17,23.6,17.9,20.7,23.6,17.9,20.7,15.8,73.9,0,0,0,,0,0,,10.1,233.1,1016.7,42.6,16,128.1,11.2,5,,2020-09-17T06:38:54,2020-09-17T19:00:45,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-18,22,15.6,18.7,22,15.6,18.7,10.6,60.9,0,0,0,,0,0,37.1,22.1,17.6,1015,45.1,16,187.6,16.4,8,,2020-09-18T06:39:53,2020-09-18T18:59:03,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-19,17.3,9.9,13.7,17.3,8.2,13.7,-1.3,36.4,0,0,0,,0,0,43.8,24.1,25.5,1025.8,2.9,16,243.6,20.9,8,,2020-09-19T06:40:52,2020-09-19T18:57:21,0.03,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-20,17.7,10,13.5,17.7,10,13.5,-1.1,37.4,0,0,0,,0,0,37.8,16.7,42.6,1032.2,3.3,16,233.4,20.1,8,,2020-09-20T06:41:51,2020-09-20T18:55:39,0.07,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-21,17.9,10,13.9,17.9,10,13.9,1.7,44.1,0,0,0,,0,0,35.3,17,36.1,1033.1,2.5,16,229.1,20,8,,2020-09-21T06:42:51,2020-09-21T18:53:58,0.11,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-22,21.9,9.6,15.9,21.9,9.2,15.8,2.7,44,0,0,0,,0,0,37.1,19.1,330.6,1019.2,4,16,227,19.6,8,,2020-09-22T06:43:50,2020-09-22T18:52:16,0.16,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-23,26.2,14.5,20.3,26.2,14.5,20.3,8.6,47.6,0,0,0,,0,0,35.5,23.4,294.4,1011.4,6.1,16,217.3,18.9,8,,2020-09-23T06:44:50,2020-09-23T18:50:34,0.22,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-24,24,16.8,20.6,24,16.8,20.6,11.4,56.2,0,0,0,,0,0,,10.3,257.6,1014.9,7.6,16,111.1,9.6,5,,2020-09-24T06:45:50,2020-09-24T18:48:53,0.27,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-25,25.1,17.1,20.6,25.1,17.1,20.6,14.9,70.6,0,0,0,,0,0,,9.1,247.2,1018.4,7.9,13.3,154.5,13.4,6,,2020-09-25T06:46:50,2020-09-25T18:47:12,0.33,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-26,23.1,18.4,20.7,23.1,18.4,20.7,16.6,77.6,0,0,0,,0,0,,16.5,149.8,1018.4,51.8,14.9,103.2,8.7,4,,2020-09-26T06:47:50,2020-09-26T18:45:31,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-27,26,19.5,22.4,26,19.5,22.4,18.8,80.5,0,0,0,,0,0,,10.4,90,1015,87.6,14.7,148.9,12.7,7,,2020-09-27T06:48:50,2020-09-27T18:43:50,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-28,25.1,20.8,22.3,25.1,20.8,22.3,19.1,82.7,1.33,100,16.67,rain,0,0,31.7,22.7,169.1,1012.4,55.3,14.2,156.1,13.4,7,,2020-09-28T06:49:51,2020-09-28T18:42:09,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-29,22.9,20.1,21.5,22.9,20.1,21.5,19.3,87.8,5.86,100,45.83,rain,0,0,60.8,19.1,167,1010.5,69.2,12.9,55.7,4.8,2,,2020-09-29T06:50:51,2020-09-29T18:40:29,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-09-30,21.8,15.8,18.7,21.8,15.8,18.7,12.5,70.1,32.82,100,29.17,rain,0,0,61.3,35.6,232.9,1005.2,50.7,13.6,178.7,15.4,7,,2020-09-30T06:51:52,2020-09-30T18:38:48,0.49,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-01,21.4,15.6,18.2,21.4,15.6,18.2,10.1,60.1,0,0,0,,0,0,35.3,15.4,238.4,1012.4,42.7,16,145.2,12.5,6,,2020-10-01T06:52:53,2020-10-01T18:37:09,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-02,18,13,15.5,18,13,15.5,8.5,64.1,1.08,100,33.33,rain,0,0,31.7,14.8,286.3,1015.1,66.8,15.6,111.3,9.6,6,,2020-10-02T06:53:55,2020-10-02T18:35:29,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-03,19,11.2,14.8,19,11.2,14.8,5.5,55.4,0,0,0,,0,0,,14,312,1021.6,9.6,16,203.8,17.5,7,,2020-10-03T06:54:56,2020-10-03T18:33:50,0.52,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-04,18.7,11,14.8,18.7,11,14.8,7.5,62.3,0,0,0,,0,0,,13.8,46.9,1023.1,18.8,16,165.8,14.3,7,,2020-10-04T06:55:58,2020-10-04T18:32:12,0.53,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-05,20,12.1,16,20,12.1,16,9.6,67.1,0,0,0,,0,0,,10.1,43,1020,28.3,16,164,14.2,7,,2020-10-05T06:57:00,2020-10-05T18:30:34,0.56,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-06,20.7,14,16.9,20.7,14,16.9,10,65.2,0,0,0,,0,0,31.7,12.3,228.2,1018.6,22.8,15.9,191.7,16.5,7,,2020-10-06T06:58:03,2020-10-06T18:28:56,0.59,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-07,23.1,16.1,18.6,23.1,16.1,18.6,10.4,60.1,0.45,100,8.33,rain,0,0,44.6,22.1,249.1,1007.5,42.4,15.7,134.4,11.7,7,,2020-10-07T06:59:06,2020-10-07T18:27:19,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-08,17.3,12.8,15,17.3,12.8,15,3.9,47.8,0,0,0,,0,0,44.6,27.1,296.2,1014.2,9.5,16,189.6,16.3,7,,2020-10-08T07:00:09,2020-10-08T18:25:42,0.68,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-09,20.2,10.7,15.4,20.2,10.7,15.4,5.2,51.4,0,0,0,,0,0,37.1,18.5,256.2,1021.2,25.3,16,181,15.5,7,,2020-10-09T07:01:12,2020-10-09T18:24:07,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-10,21.3,15,18.3,21.3,15,18.3,12.1,67.8,0,0,0,,0,0,34,16,224.1,1015.7,9,16,109.9,9.5,4,,2020-10-10T07:02:16,2020-10-10T18:22:31,0.78,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-11,19,15.8,17.8,19,15.8,17.8,11.9,68.8,0,0,0,,0,0,33.5,18,45.5,1018.5,64.7,16,86.1,7.5,4,,2020-10-11T07:03:19,2020-10-11T18:20:57,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-12,15.7,9.5,11.6,15.7,7.5,11.5,10,90.6,22.8,100,95.83,rain,0,0,48.1,23.9,65.1,1021.3,100,8.7,24.8,2.1,1,,2020-10-12T07:04:24,2020-10-12T18:19:23,0.88,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-13,14.4,11.8,13.3,14.4,11.8,13.3,12,92,10.97,100,62.5,rain,0,0,50,20.1,24.6,1012.3,96.9,9.4,53.4,4.6,2,,2020-10-13T07:05:28,2020-10-13T18:17:49,0.93,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-14,19.6,10.7,15.1,19.6,10.7,15.1,7.2,60.9,0,0,0,,0,0,31.7,13.7,255.3,1014.4,3.1,16,181.8,15.8,7,,2020-10-14T07:06:33,2020-10-14T18:16:17,0.96,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-15,21.4,14,17.6,21.4,14,17.6,11.7,68.7,0,0,0,,0,0,48.9,22.7,189.6,1015.5,10.8,16,172.3,14.9,7,,2020-10-15T07:07:38,2020-10-15T18:14:45,0.99,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-16,18.7,9.1,14,18.7,6.9,13.9,11.9,87.7,33.3,100,50,rain,0,0,37.1,19.3,325.1,1017.8,86.1,12.1,16.3,1.4,1,,2020-10-16T07:08:44,2020-10-16T18:13:14,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-17,15.2,7,10.8,15.2,5.6,10.1,2,59.1,1.17,100,20.83,rain,0,0,33.5,17.8,328.6,1024.8,27.6,15.9,180.8,15.6,7,,2020-10-17T07:09:50,2020-10-17T18:11:44,0,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-18,16.4,8.2,12.4,16.4,8.2,12.4,6.1,66.5,0,0,0,,0,0,33.5,20.3,123.4,1030.4,26.1,16,129.7,11,5,,2020-10-18T07:10:56,2020-10-18T18:10:15,0.02,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-19,18,10.7,14.5,18,10.7,14.5,10.6,78,0,0,0,,0,0,,15.3,132.7,1026.9,39.7,16,110.2,9.4,5,,2020-10-19T07:12:02,2020-10-19T18:08:47,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-20,21.3,14.4,17.3,21.3,14.4,17.3,15.4,88.9,0.05,100,8.33,rain,0,0,,11.8,130.5,1023.9,66.3,13,114.6,9.9,6,,2020-10-20T07:13:09,2020-10-20T18:07:20,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-21,20.2,15.8,17.6,20.2,15.8,17.6,16.4,92.8,0,0,0,,0,0,,13,170.5,1024.4,89.3,9.2,98.3,8.5,5,,2020-10-21T07:14:17,2020-10-21T18:05:54,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-22,20.2,17.9,18.9,20.2,17.9,18.9,17.2,90.4,0,0,0,,0,0,33.5,8,332.4,1023.7,87.3,8.1,37.6,3.2,1,,2020-10-22T07:15:24,2020-10-22T18:04:29,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-23,20.2,17.2,18.2,20.2,17.2,18.2,16.3,88.8,0,0,0,,0,0,47.9,7.6,180.2,1021.5,98.6,10.9,70.4,6.1,5,,2020-10-23T07:16:32,2020-10-23T18:03:05,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-24,20.7,10.7,17.1,20.7,10.7,17.1,12,72.6,0,0,0,,0,0,37.1,21.5,281.5,1014.5,79.5,15.8,55.8,4.6,4,,2020-10-24T07:17:40,2020-10-24T18:01:42,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-10-25,11.2,7.2,9.5,11.2,5,8.4,2.1,60.7,0.55,100,8.33,rain,0,0,29.5,20.2,43,1023,45,15.4,80,6.7,3,,2020-10-25T07:18:49,2020-10-25T18:00:20,0.35,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
