name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
10025,2018-01-18,0.1,-7.1,-3.7,-4.6,-13.2,-8.6,-12.5,51.3,0,0,0,,1,0.6,42.8,19.6,308.5,1017,4.8,16,119.1,10.3,5,,2018-01-18T07:16:39,2018-01-18T16:56:22,0.01,Clear,Clear conditions throughout the day.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-19,4.4,-3.9,0.2,1.4,-8,-3,-9.6,48.1,0,0,0,,0,0.8,37.1,18.4,259.3,1016.5,6.3,16,76.8,6.8,4,,2018-01-19T07:16:06,2018-01-19T16:57:32,0.03,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-20,11.2,3.1,6.8,11.2,-0.4,4.4,-4.8,43.6,0,0,0,,0,0.1,47.1,27.1,254.5,1012.8,7,16,127.5,11,6,,2018-01-20T07:15:31,2018-01-20T16:58:43,0.05,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,C9476,KLGA,KNYC,F1417,72503014732"
10025,2018-01-21,10.2,5.8,7.9,10.2,3.6,7,-1.4,52,0,0,0,,0,0,,10.5,293.9,1020.3,35.2,16,112.1,9.7,5,,2018-01-21T07:14:55,2018-01-21T16:59:54,0.09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-22,9.7,3.3,6.1,9.7,0,4.3,3,80.9,0.31,100,12.5,rain,0,0,31.7,15.6,59.5,1020.7,91.1,9.4,57.4,5,3,,2018-01-22T07:14:16,2018-01-22T17:01:06,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-23,15.5,3.3,9.2,15.5,0.5,8.2,5.5,80.3,7.91,100,41.67,rain,0,0,50.9,30.8,269.5,1006.7,73.3,9.4,41.3,3.4,3,,2018-01-23T07:13:35,2018-01-23T17:02:19,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-24,6.7,-2.1,3.7,3.7,-7.3,-0.1,-5.5,51.1,0,0,0,,0,0,46.4,22.1,291.9,1013.5,50.1,16,111.3,9.7,6,,2018-01-24T07:12:52,2018-01-24T17:03:31,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-25,1.2,-4.9,-2,-1.6,-10.4,-6.5,-15.1,38.4,0,0,0,,0,0,44.6,22.3,321.3,1028.1,8.2,16,130.8,11.3,6,,2018-01-25T07:12:08,2018-01-25T17:04:45,0.28,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-26,3.4,-3.3,-0.2,1.3,-6.3,-2.4,-13,38.5,0,0,0,,0,0,26.9,15.3,221.2,1037.6,13.7,16,126.3,10.8,6,,2018-01-26T07:11:21,2018-01-26T17:05:58,0.34,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-27,13.1,1.9,7.7,13.1,-0.5,6.6,-0.4,57.9,0,0,0,,0,0,35.3,18.3,222.2,1029.7,9.3,16,105.5,9.2,5,,2018-01-27T07:10:32,2018-01-27T17:07:12,0.39,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-28,12.5,8,9.9,12.5,6.8,9.4,5.5,74.9,5.63,100,45.83,rain,0,0,37.1,15.7,268.3,1023.8,84.4,14.5,26.2,2.3,2,,2018-01-28T07:09:42,2018-01-28T17:08:26,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-29,7.9,2.9,5.4,7.2,-1.7,2.4,-2.5,57.2,0,0,0,,2,0.6,44,31.8,51.1,1020.9,52.7,16,65.2,5.5,3,,2018-01-29T07:08:50,2018-01-29T17:09:40,0.47,Partially cloudy,Becoming cloudy in the afternoon.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-30,2.3,-3.7,-0.4,1.3,-9.1,-4.5,-4.9,73.1,2.84,100,37.5,"rain,snow",1.2,1.7,49.2,25.7,333.7,1015.8,88.9,10,53,4.5,2,,2018-01-30T07:07:55,2018-01-30T17:10:54,0.49,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-31,0.1,-7.7,-3.3,0.1,-14.3,-7.6,-13.7,45.5,0,0,0,,0,0.1,43.6,22,269.7,1021.8,9.7,16,132.9,11.6,6,,2018-01-31T07:07:00,2018-01-31T17:12:09,0.5,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-01,7.2,0.1,4,7.2,-3.4,2.2,-4.3,55,0.77,100,16.67,rain,0,0,35.3,17.3,223.4,1014.2,69.7,15.8,62.3,5.6,3,,2018-02-01T07:06:02,2018-02-01T17:13:23,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-02,4.9,-8.3,-2.3,4.9,-17.8,-7.7,-10.7,54.4,5.23,100,25,"rain,snow",0,0,51.4,41.6,305.7,1016.8,69.2,15,102.7,8.8,5,,2018-02-02T07:05:03,2018-02-02T17:14:38,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-03,-1.1,-8.8,-4.6,-4.8,-16.6,-9.8,-15.3,43.2,0,0,0,,0,0,45.7,25.6,249.2,1028.8,20,16,126.7,10.8,5,,2018-02-03T07:04:02,2018-02-03T17:15:52,0.56,Clear,Becoming cloudy in the afternoon.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-04,7,-1.1,3.1,5.9,-5.9,0.9,-3.4,64.8,23.97,100,41.67,rain,0,0,33.5,20.3,214.2,1018.5,96.5,12.3,47.2,4,3,,2018-02-04T07:02:59,2018-02-04T17:17:07,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-05,4.4,-3.3,0.7,2.4,-7,-3.3,-7.3,58.3,0.51,100,8.33,rain,0,0,52.5,27.4,300.3,1014.7,25.7,15.5,146.7,12.7,6,,2018-02-05T07:01:55,2018-02-05T17:18:21,0.65,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-06,2.9,-3.2,0.1,2.3,-4.8,-1.9,-9.3,49.6,0,0,0,,0,0,,15.2,270.4,1028,48.8,16,53.3,4.5,3,,2018-02-06T07:00:49,2018-02-06T17:19:36,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-07,6.8,-1.1,1,4.8,-6.1,-2.4,-2.6,78.1,21.55,100,58.33,"rain,snow",0,0,56.2,38.8,41.2,1022.8,72.6,10.5,13.6,1.2,1,,2018-02-07T06:59:42,2018-02-07T17:20:50,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-08,0.7,-3.3,-1.4,-3.1,-8.3,-5.7,-9.6,53.8,0,0,0,,0,0,51.9,31.5,310.2,1026.1,44,16,154.1,13.2,6,,2018-02-08T06:58:33,2018-02-08T17:22:04,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-09,3.7,-3.4,-0.4,1.1,-7.7,-3.4,-8.1,56.4,0,0,0,,0,0,34.7,19.7,228.3,1032.5,41.9,16,81.5,7,5,,2018-02-09T06:57:23,2018-02-09T17:23:19,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-10,9.4,3.7,6.7,9,1.2,5.9,4.5,86.2,14.47,100,41.67,rain,0,0,,10.8,209.9,1023.1,86.6,9.4,46.3,4,3,,2018-02-10T06:56:11,2018-02-10T17:24:32,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-11,15.6,7.2,9.9,15.6,6.1,9.4,9.3,96,30.96,100,87.5,rain,0,0,27.7,13.7,15.8,1014.4,100,6.1,20.7,1.6,1,,2018-02-11T06:54:58,2018-02-11T17:25:46,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-12,16.1,1.2,7.3,16.1,-3.4,5.1,-1.5,56.6,0,0,0,,0,0,46.2,23,317.1,1025.7,55.9,15.7,74.1,6.4,4,,2018-02-12T06:53:44,2018-02-12T17:27:00,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-13,2.9,-3.3,-0.1,2.9,-8.4,-3.4,-9.4,50.8,0,0,0,,0,0,35.3,16.7,21.9,1040.7,22.3,16,159.6,13.7,6,,2018-02-13T06:52:28,2018-02-13T17:28:13,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-14,11.8,2.1,6.5,11.8,-0.8,5.1,0,64.1,0.74,100,8.33,rain,0,0,27.7,17.7,235.7,1025.6,86.4,15.8,107.8,9.3,5,,2018-02-14T06:51:11,2018-02-14T17:29:26,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-15,16,7.9,11.5,16,6,11,8.2,80.8,3.7,100,25,rain,0,0,,15.5,236.2,1010.9,69.6,11.2,59.4,5.1,2,,2018-02-15T06:49:53,2018-02-15T17:30:39,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-16,14.5,3,11.1,14.5,-1.7,10,6.6,75.1,3.61,100,50,rain,0,0,54.8,22,292.4,1006.3,67.7,14.2,39,3.4,2,,2018-02-16T06:48:34,2018-02-16T17:31:51,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-17,3.5,-2,0.9,3.2,-5.6,-1.6,-6.4,60.9,12.32,100,25,"rain,snow",5,1.7,40.7,20.3,21.8,1025.1,35.5,12.8,126.8,10.9,7,,2018-02-17T06:47:13,2018-02-17T17:33:04,0.01,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-18,6.7,0.7,3.5,4.3,-2.8,1,-3.4,63.6,1.58,100,8.33,"rain,snow",3,5.8,52.6,18.8,318.7,1024.2,30.6,14,179,15.3,7,,2018-02-18T06:45:51,2018-02-18T17:34:16,0.03,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-19,9.3,2.5,6.5,8.7,-0.6,5.1,2,73.5,1.07,100,16.67,rain,0,0.5,35.3,12.6,156.6,1030.8,57.2,13.9,79.9,7,4,,2018-02-19T06:44:29,2018-02-19T17:35:27,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-20,19.5,8.3,13.8,19.5,8.1,13.5,10.7,82.9,0,0,0,,0,0,32.9,18.5,239.9,1026.1,57.9,10.6,103,8.7,5,,2018-02-20T06:43:05,2018-02-20T17:36:39,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-21,25.7,12.7,18.7,25.7,12.7,18.7,13.5,73.2,1.74,100,12.5,rain,0,0,,21.9,236.9,1025.2,54.2,14.8,173.9,15,6,,2018-02-21T06:41:40,2018-02-21T17:37:50,0.15,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"72502594741,72505394728,72503014732"
10025,2018-02-22,15,3,7,15,-0.5,4.7,2.1,72,4.35,100,37.5,rain,0,0,33.5,18.6,38.8,1035,100,13.8,29.3,2.5,1,,2018-02-22T06:40:14,2018-02-22T17:39:01,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-23,5.1,2.3,3.4,5.1,-1.8,0.7,1.7,88.7,1.9,100,37.5,rain,0,0,29.5,17.4,63.8,1032.8,100,10.9,22.8,1.9,1,,2018-02-23T06:38:47,2018-02-23T17:40:11,0.26,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-24,12.1,5.8,8.4,12.1,2.9,7.2,5.1,80.8,1.28,100,25,rain,0,0,38.9,18.3,304.2,1021.5,85.9,13.5,63.1,5.4,3,,2018-02-24T06:37:19,2018-02-24T17:41:21,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-25,6.2,4.9,5.6,6.2,1.1,3.4,4.1,89.8,18.41,100,45.83,rain,0,0,40.7,20.2,60.8,1017.7,100,10.1,22.3,1.8,1,,2018-02-25T06:35:51,2018-02-25T17:42:31,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-26,11.1,6.2,8.3,11.1,4.5,7.4,-0.5,57.8,0,0,0,,0,0,33.5,14.3,302.4,1019.9,26.3,15.1,72.1,6.2,4,,2018-02-26T06:34:21,2018-02-26T17:43:41,0.42,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-27,13,3.8,8,13,1.8,6.9,-5.5,38.4,0,0,0,,0,0,29.5,16.3,269.3,1026.3,1.2,16,199.7,17.3,7,,2018-02-27T06:32:51,2018-02-27T17:44:50,0.46,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-02-28,16.2,6,10.6,16.2,3.4,9.6,-1.2,44.4,0,0,0,,0,0,42.5,18.4,216.3,1016.9,16.9,16,179.6,15.5,7,,2018-02-28T06:31:20,2018-02-28T17:45:59,0.48,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-01,14.9,6.7,12.3,14.9,4.8,12.1,3.8,57.2,6.84,100,12.5,rain,0,0,35.3,16,85.3,1008.3,43.5,15,91.4,7.9,4,,2018-03-01T06:29:48,2018-03-01T17:47:08,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-02,6.7,1.3,3.2,3.7,-4.5,-1.3,1.3,87.9,49.84,100,87.5,"rain,snow",0,0,62.6,39.9,346.5,996.2,100,7.4,14.5,1.2,1,,2018-03-02T06:28:16,2018-03-02T17:48:16,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-03,9.1,2.3,5.1,6.7,-2.8,1.2,-2.2,59.5,0,0,0,,0,0,62.4,40.5,356.4,1014.3,70.8,16,168.1,14.5,8,,2018-03-03T06:26:43,2018-03-03T17:49:24,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-04,6.2,1.2,4.4,3,-4.3,0.7,-4.5,52.9,0,0,0,,0,0,55.3,32.6,350,1019,85.5,16,103.9,9,5,,2018-03-04T06:25:09,2018-03-04T17:50:32,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-05,5.6,0.8,3.1,2.8,-4.9,-0.6,-5.3,54.4,0,0,0,,0,0,47.2,30.2,354.5,1017.3,67.5,16,131.6,11.3,6,,2018-03-05T06:23:35,2018-03-05T17:51:40,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-06,7.6,0.2,3.9,6.8,-1.9,1.9,-3.7,58.4,0,0,0,,0,0,40.7,24.7,122.7,1016.4,33.3,16,218.4,18.8,8,,2018-03-06T06:22:00,2018-03-06T17:52:47,0.62,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-07,3.9,0.7,1.5,0.4,-5.1,-3,0.1,90.5,34.41,100,87.5,"rain,snow",4.8,1.6,56.2,29.9,37.8,1006.5,84.5,7.2,17.1,1.1,1,,2018-03-07T06:20:24,2018-03-07T17:53:54,0.66,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-08,3.9,0.7,2.4,1.4,-2.8,-0.6,-3.1,67.9,0.12,100,4.17,"rain,snow",3.1,6.7,40.7,19,289.4,1005.6,77.6,15.9,110.9,9.5,5,,2018-03-08T06:18:48,2018-03-08T17:55:00,0.71,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-09,5.8,-1,2,3.4,-5.8,-1.8,-5.8,56.7,0,0,0,,0.2,4.3,52.3,30.3,268.2,1007,70.2,16,147.5,12.7,5,,2018-03-09T06:17:12,2018-03-09T17:56:07,0.76,Partially cloudy,Partly cloudy throughout the day.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-10,4,-0.5,2.2,0.6,-4.9,-1.6,-7,51.2,0,0,0,,5.1,3.9,43.7,22.7,282,1013.4,61.6,16,150.3,12.9,6,,2018-03-10T06:15:35,2018-03-10T17:57:13,0.8,Partially cloudy,Partly cloudy throughout the day.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-11,6.8,0.2,3.5,5.7,-3.2,1,-7.1,46.7,0,0,0,,0,1.2,38.9,17.9,303.6,1017.5,15.2,16,242.9,19.9,8,,2018-03-11T07:13:58,2018-03-11T18:58:19,0.85,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-03-12,5.6,0.1,3.1,2.5,-3.6,-0.3,-3.4,62.7,0.2,100,4.17,rain,0,0,43.3,22.9,50.6,1014.2,40.5,15.8,121,10.6,6,,2018-03-12T07:12:20,2018-03-12T18:59:25,0.89,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
