Open Dataset ID,Dataset Name / Title,Agency,Posting Frequency,Description,Status,Plan submission date,NYS URL,Catalog Category
142,Weekday Bus Pull Out Performance,Bus,Monthly,This dataset reflects a monthly legacy service performance metric that indicates the percent of required buses and operators available in the AM and PM peak periods.,Planned,Q3 2022,,1. Operational metrics and data
22,Access-A-Ride Ridership by hour,AAR,Monthly,Presents Access-A-Ride ridership measured both as total trips (the count of trips provided to registered Access-A-Ride clients) and total ridership (the count of personal care attendants (PCAs) and guests who join clients on the trips).,Published - enhancements planned,Q2 2022,https://data.ny.gov/d/fn46-66ir,2. System usage
148,Access-A-Ride Total Registrants,AAR,Monthly,"Reflects the total number of registrants for Access-A-Ride service, per time period.",Planned,Q4 2022,,2. System usage
105,Daily Ridership Data,"Subway,Bus,AAR,LIRR,MNR",Daily,Provides daily systemwide ridership and traffic figures for all MTA services with a percentage comparison against comparable pre-pandemic data.,Published,Complete,https://data.ny.gov/d/vxuj-8kew,2. System usage
4,Fare Card Usage History for MTA,"Subway,Bus",Weekly,"Provides detailed data on subway and bus fares collected by both the MetroCard and OMNY systems, including number of MetroCard swipes made each week by customers entering each station of the New York City Subway, PATH, AirTrain JFK. and the Roosevelt Island Tram, broken out to show the usage of the various types of MetroCards. ",Published - enhancements planned,Q1 2023,https://data.ny.gov/d/v7qc-gwpn,2. System usage
104,Historical customer occupancy data,"Bus,LIRR,MNR",Monthly,"Provides a historical record of the occupancy data provided via MTA's real-time data feeds for NYC buses, Long Island Rail Road, and Metro-North Railroad.",Planned,Q2 2023,,2. System usage
5,Hourly Traffic on MTA Bridges and Tunnels,B&T,Weekly,"Reflects the number of vehicles (including cars, buses, trucks, and motorcycles) that pass through each of the bridges and tunnels operated by the MTA each hour of the day.",Published,Complete,https://data.ny.gov/d/qzve-kjga,2. System usage
119,LIRR Chargebacks,LIRR,Monthly,Reflects the monthly dollar amount of chargebacks and the percentage of transactions that have been disputed with the customer receiving a refund.,Published,Complete,https://data.ny.gov/d/cdm6-cd46,2. System usage
117,LIRR Fare Collection Failure Rates,LIRR,Monthly,"Reflects the quality of fare collection by LIRR conductors, as observed by MTA Auditors.",Published,Complete,https://data.ny.gov/d/6fc5-5xk2,2. System usage
160,Monthly gas prices and weather conditions,B&T,Monthly,Provides information about monthly gas prices and weather conditions as they pertain to Bridges & Tunnels facilities.,Planned,Q1 2023,,2. System usage
161,Monthly revenue and collection rate by facility,B&T,Monthly,"Provides information about revenue and collection rates, per month and Bridges & Tunnels facility.",Planned,Q3 2022,,2. System usage
123,Monthly Ridership / Traffic,"Subway,Bus,AAR,LIRR,MNR,B&T",Monthly,"Provides ridership totals for subways, buses, LIRR, and Metro-North on a monthly basis.",Planned,Q3 2022,,2. System usage
162,"Monthly traffic by toll media, vehicle type, time period, and facility",B&T,Monthly,"Provides monthly traffic information, broken down by type of toll media, type of vehicle, time period, and Bridges & Tunnels facility.",Planned,Q3 2022,,2. System usage
147,Ridership projection data,HQ,3 times a year,"Provides MTA's projected ridership and traffic volumes by MTA operating agency coinciding with the current financial plan years, with monthly calendarized levels for the current year, and may be extended in the future to include longer-term projections. Annual ridership and traffic projections are updated in each financial plan, and monthly calanderized projections for the current year are provided in the February Financial Plan for the Adopted Budget and in September for the July Financial Plan. For the period beginning July 2020, the methodology used to project ridership and traffic volumes has been modified to align projections with MTA's pandemic recovery revenue forecasts.",Planned,Q3 2022,,2. System usage
74,Subway and Bus Reduced-Fare MetroCard Usage,"Subway,Bus",Monthly,"Indicates the number of subway and bus journeys made each month by passengers using Reduced-Fare or Access-A-Ride MetroCards, categorized by the type of MetroCard used.",Published - enhancements planned,Q4 2022,https://data.ny.gov/d/v8fq-z483,2. System usage
13,Turnstile Usage Data: 2014,Subway,Static,Contains information on subway entry/exit register values for individual control areas in the year 2014.,Published,Complete,https://data.ny.gov/d/i55r-43gk,2. System usage
14,Turnstile Usage Data: 2015,Subway,Static,Contains information on subway entry/exit register values for individual control areas in the year 2015.,Published,Complete,https://data.ny.gov/d/ug6q-shqc,2. System usage
15,Turnstile Usage Data: 2016,Subway,Static,Contains information on subway entry/exit register values for individual control areas in the year 2016.,Published,Complete,https://data.ny.gov/d/ekwu-khcy,2. System usage
16,Turnstile Usage Data: 2017,Subway,Static,Contains information on subway entry/exit register values for individual control areas in the year 2017.,Published,Complete,https://data.ny.gov/d/v5y5-mwpb,2. System usage
17,Turnstile Usage Data: 2018,Subway,Static,Contains information on subway entry/exit register values for individual control areas in the year 2018.,Published,Complete,https://data.ny.gov/d/bjcb-yee3,2. System usage
18,Turnstile Usage Data: 2019,Subway,Static,Contains information on subway entry/exit register values for individual control areas in the year 2019.,Published,Complete,https://data.ny.gov/d/xfn5-qji9,2. System usage
19,Turnstile Usage Data: 2020,Subway,Static,Contains information on subway entry/exit register values for individual control areas in the year 2020.,Published,Complete,https://data.ny.gov/d/py8k-a8wg,2. System usage
20,Turnstile Usage Data: 2021,Subway,Weekly,Contains information on subway entry/exit register values for individual control areas in the year 2021.,Published,Complete,https://data.ny.gov/d/uu7b-3kff,2. System usage
73,Bus Wheelchair Ramp/Lift Usage,Bus,Monthly,Shows the number of times per month the bus operator deployed the wheelchair ramp or lift to assist a passenger to board or exit a bus. ,Published - enhancements planned,Q4 2022,https://data.ny.gov/d/e2u6-bmnn,3. Accessibility
69,LIRR and Metro-North Elevator and Escalator Availability,"LIRR,MNR",Monthly,Represents the percent of the time that elevators and escalators are operational systemwide. ,Published,Complete,https://data.ny.gov/d/9hjt-526f,3. Accessibility
106,Subway Accessible Station Platform Availability,Subway,Monthly,Reflects the percentage of time during each month that the average platform at accessible stations is available to passengers who need step-free access.,Published,Complete,https://data.ny.gov/d/thh2-syn7,3. Accessibility
67,Subway Elevator and Escalator Availability,Subway,Monthly,Represents the percent of the time that elevators and escalators are operational systemwide. ,Published,Complete,https://data.ny.gov/d/rc78-7x78,3. Accessibility
159,Additional B&T safety indicators,B&T,Monthly,"Presents leading Roadway Safety indicators, including workforce development, fleet preventative maintenance and safety taskforce inspection numbers, as well as Fire Safety indicators, including total number of fire code audits and FDNY liaison visits.",Planned,Q1 2023,,4. Safety / security
30,Customer and vehicle injury and collision rates,"Subway,Bus,AAR,LIRR,MNR,B&T",Monthly,"Provides customer injury and vehicle collision rates occurring on MTA's services, as reported monthly in agency performance reports.",Planned,Q2 2023,,4. Safety / security
206,Incidence of major crime on LIRR and Metro-North,"LIRR,MNR",Monthly,Reflects the number of MTA Police Department-reported incidents of select types of criminal activity within the LIRR and Metro-North Railroad systems.,Planned,Q1 2023,,4. Safety / security
209,"LIRR and Metro-North workplace violence, harassment, and assaults involving employees","LIRR,MNR",Monthly,Provides statistics on the frequency of workplace violence assault and harassment against Long Island Rail Road and Metro-North Railroad employees.,Planned,Q3 2023,,4. Safety / security
108,Subway and Bus Worker Assault/Harassment and Select Vandalism Statistics,"Subway,Bus",Weekly,"Reflects the weekly number of employee-reported incidents of assault and harassment against on-duty New York City Transit Subway (including Staten Island Railway) and Regional Bus Operations (NYCT Bus and MTA Bus) employees, as well as the number of units vandalized for select elements of the subway and bus system.",Published,Complete,https://data.ny.gov/d/4423-hzf9,4. Safety / security
208,Track intrusion statistics,Subway,Monthly,Provides statistics on the frequency of both delay-causing and non-delay-causing track intrusions on the subway network.,Planned,Q3 2023,,4. Safety / security
202,Transit Adjucation Bureau Subway and Bus violations data,"Subway,Bus,AAR",Quarterly,"Provides statistics on the violations issued and fines paid, as processed by the NYCT Transit Adjudication Bureau (TAB). TAB processes summons issued for violations of one or more of the rules governing conduct in the New York City Transit system.",Planned,Q4 2022,,4. Safety / security
31,Employee Lost Time Rate,"Subway,Bus,B&T",Monthly,"Provides the rate of reportable job-related injuries resulting in lost work time, used to monitor and manage workplace safety.",Planned,Q2 2023,,4. Safety / security
81,Accrual Statement of Operations - budgeted,HQ,3 times a year,"An element of the MTA Financial Plan, this dataset reflects budgeted revenues and expenses on an accrual basis (at the time revenues or expenditures are committed), by category and for all MTA agencies. The Financial Plan, which looks ahead three years, is proposed in November each year, finalized and allocated to calendar months in February, and revised in July each year.",Planned,Q3 2023,,5. Financial
83,Cash Basis Statement of Operations - budgeted,HQ,3 times a year,"An element of the MTA Financial Plan, this dataset reflects budgeted revenues and expenses on a cash basis (at the time funds are received or paid out), by category and for all MTA agencies.",Planned,Q3 2023,,5. Financial
76,Debt Outstanding,HQ,Monthly,Provides a record of outstanding long-term debt and debt pay down.,Planned,Q2 2023,,5. Financial
77,Farebox Recovery Ratios,HQ,Monthly,"Provides farebox recovery ratios, being the percentage of operating budget met by fares collected from customers.",Planned,Q1 2023,,5. Financial
78,Fuel Hedging,HQ,Monthly,Presents a list of fuel hedge contracts and prices for all MTA agencies.,Planned,Q2 2023,,5. Financial
85,Statement of Operations - actuals by month,HQ,Monthly,"An element of the MTA Financial Plan, this dataset reflects actual revenues and expenditures, by month, category, and MTA agency.",Planned,Q3 2023,,5. Financial
33,LIRR and Metro-North Lost Time Rates: Beginning 2018 ,"LIRR,MNR",Monthly,"Provides the rate of reportable job-related injuries resulting in lost work time, used to monitor and manage workplace safety.",Published,Complete,https://data.ny.gov/d/ka57-re2h,6. Workforce data
94,Minority- and women-owned business utilization statistics,DDCR,Quarterly,"Provides statistics on the utilization of minority-, women-, and service-dislabled veteran-owned, and disadvantaged businesses in MTA contracts.",Planned,Q2 2023,,6. Workforce data
93,MTA Workforce Diversity,DDCR,Monthly,"Provides statistics on the diversity within MTA's workforce, by race, gender, and job classification.",Planned,Q2 2023,,6. Workforce data
82,Overtime data,HQ,Monthly,"Provides totals for actual, estimated, and adopted overtime per MTA agency.",Planned,Q3 2023,,6. Workforce data
79,"Workforce Positions by Function, Type, and Agency - budget and actuals",HQ,Monthly,"Presents budgeted and actual MTA workforce positions, by job function, type, and agency.",Planned,Q1 2023,,6. Workforce data
157,20 Year Needs Assessment data,HQ,As needed,"A tabular representation of the 20-Year Needs as presented in the published document, to the appropriate level of granularity.",Planned,Q4 2023,,7. Capital program
6,MTA Capital Dashboard Agencies Detail,C&D,Quarterly,"Provides information about the projects in the MTA’s 2010-2014 and 2005–2009 Capital Programs. The data describes the planned projects and provides information about the status of Project Budgets, Scopes, and Schedules, organized at the agency level.",Published - enhancements planned,Q1 2023,https://data.ny.gov/d/kizb-nxtu,7. Capital program
7,MTA Capital Dashboard Agencies Summary - All Load Dates,C&D,Quarterly,"Provides information about the projects in the MTA’s 2010-2014 and 2005–2009 Capital Programs. The data describes the planned projects and provides information about the status of Project Budgets, Scopes, and Schedules.",Published - enhancements planned,Q1 2023,https://data.ny.gov/d/ehz8-ag3n,7. Capital program
8,MTA Capital Dashboard Project Locations,C&D,Quarterly,"Provides information about the projects in the MTA’s Capital Programs. The data describes the planned projects and provides information about the status of Project Budgets, Scopes and Schedules, as well as the geo-coordinates, where applicable, for Capital Projects.",Published - enhancements planned,Q1 2023,https://data.ny.gov/d/wcsa-vkhf,7. Capital program
62,Access-A-Ride Customer Complaints,AAR,Monthly,"Measures customer complaints and comments on Access-A-Ride service quality at a rate per 1,000 completed trips. ",Published - enhancements planned,Q2 2022,https://data.ny.gov/d/98mr-pebg,8. Customer Feedback and Surveys
164,Customer engagement statistics,"Subway,Bus,AAR,LIRR,MNR",Monthly,Statistics and performance metrics about the volume and responsiveness in engaging with customers via several customer engagement channels.,Planned,Q2 2022,,8. Customer Feedback and Surveys
122,Customer Feedback Performance Metrics,"Subway,Bus,AAR",Monthly,"Presents customer feedback metrics, including total number of customer complaints and commendations and feedback rates per 100,000 riders, for Subway, Bus, Access-A-Ride, MetroCard, and non-service issues. The data covers feedback about New York City Transit operations only at this time.",Published - enhancements planned,Q3 2022,https://data.ny.gov/d/hrau-ksig,8. Customer Feedback and Surveys
10,MTA Customer Feedback Data,"Subway,Bus,AAR,LIRR,MNR,B&T",Quarterly,"Contains information about areas of customer service and how that service was rated, based on public correspondence to the MTA about complaints or commendations in a variety of categories.",Published - enhancements planned,Q2 2022,https://data.ny.gov/d/tppa-s6t6,8. Customer Feedback and Surveys
99,MTA Origin-Destination and Travel Surveys,"Subway,Bus,AAR,LIRR,MNR",Static,"Points to the MTA website with complete data and summaries from several large customer travel behavior surveys: LIRR origin-destination survey (2012-2014), Metro-North origin-destination survey (2007 and 2017), and the New York City travel survey (2008 and 2018).",Planned - link to feeds,Q2 2022,,8. Customer Feedback and Surveys
27,MTA General Transit Feed Specification (GTFS) Static Data,"Subway,Bus,LIRR,MNR",Real-time,"Presents schedules and associated data (including station / bus stop locations, train lines, and bus routes) for NYCT Subway, NYCT Bus, MTA Bus, LIRR, and Metro-North in GTFS Static format.",Planned - link to feeds,Q2 2022,,9. Data feeds
144,Real-time customer occupancy data feeds,"Bus,LIRR,MNR",Real-time,"Provides an indication of real-time bus and train occupancy levels for NYC buses (existing), Long Island Rail Road, and Metro-North Railroad, within real-time data feeds.",Planned - link to feeds,Q4 2022,,9. Data feeds
28,"Real-time service and service alert feeds (GTFS-realtime, SIRI, JSON)","Subway,Bus,LIRR,MNR",Real-time,"Provides real-time and planned service alert information for subways, buses, Long Island Rail Road, and Metro-North Railroad. This information is available in GTFS-RT (protocol buffer) and JSON formats.",Planned - link to feeds,Q2 2022,,9. Data feeds
23,Subway Elevator and Escalator asset and service status feeds,Subway,Real-time,Provides information about planned and real-time elevators and escalator outages in the NYC subway system. ,Planned - link to feeds,Q2 2022,,9. Data feeds
2,E-ZPass Retailers Locations,B&T,As needed,Provides the locations of authorized businesses that can sell E-ZPass tags.,Published,Complete,https://data.ny.gov/d/y59h-w6v4,10. Assets / geographical information
11,MTA Wi-Fi Locations,Subway,As needed,Provides location data where Transit Wireless Wi-Fi access is available in the subway system.,Published,Complete,https://data.ny.gov/d/pwa9-tmie,10. Assets / geographical information
12,NYC Transit Subway Entrance And Exit Data,Subway,As needed,"Provides a variety of information on subway station entrances and exits, including Division, Line, Station Name, Longitude and Latitude coordinates, and more.",Published - enhancements planned,Q1 2023,https://data.ny.gov/d/i9wp-a4ja,10. Assets / geographical information
1,Arts For Transit - MTA Permanent Art Catalogue,HQ,As needed,Provides a catalog of the various artwork located at train and subway stations throughout the metropolitan area under the MTA's Permanent Art Program.,Published,Complete,https://data.ny.gov/d/4y8j-9pkd,11. Miscellaneous
3,Eye On The Future - MTA Contract Solicitations,HQ,Quarterly,"This dataset contains information for prospective contractors, engineers, architects, and vendors about contracts that are expected to be advertised for bids during specific time periods by the MTA's operating agencies.",Published,Q1 2023,https://data.ny.gov/d/e3e7-qwer,11. Miscellaneous
204,Procurement approvals,HQ,Quarterly,Provides a list of procurement actions approved by the MTA Board.,Planned,Q3 2023,,11. Miscellaneous
163,Service alerts,"Subway,Bus,LIRR,MNR",Monthly,"Statistics about the type and frequency of service alerts communicated on mta.info, on digital displays, via social media, and/or via email and text message.",Planned,Q4 2022,,11. Miscellaneous
